Rank,Conference,Rating,Season
12,Southern,0.499,2019
13,CUSA,0.498,2019
14,MVC,0.496,2019
15,MWC,0.493,2019
16,WAC,0.492,2019
17,Sun Belt,0.49,2019
18,CAA,0.487,2019
19,Patriot,0.485,2019
20,OVC,0.473,2019
21,A-Sun,0.469,2019
22,Horizon,0.467,2019
23,Big South,0.463,2019
24,Big Sky,0.462,2019
25,Big West,0.459,2019
26,AEC,0.457,2019
27,Summit,0.456,2019
28,NEC,0.452,2019
29,MAAC,0.448,2019
30,Southland,0.441,2019
31,SWAC,0.413,2019
32,MEAC,0.408,2019
1,Big 12,0.581,2018
2,Big East,0.575,2018
3,SEC,0.574,2018
4,ACC,0.574,2018
5,Big Ten,0.552,2018
6,Pac-12,0.551,2018
7,AAC,0.539,2018
8,MVC,0.527,2018
9,MWC,0.517,2018
10,MAC,0.509,2018
11,A-10,0.506,2018
12,WCC,0.5,2018
13,CAA,0.499,2018
14,CUSA,0.49,2018
15,WAC,0.483,2018
16,Southern,0.48,2018
17,Big Sky,0.48,2018
18,OVC,0.478,2018
19,Summit,0.477,2018
20,Sun Belt,0.476,2018
21,MAAC,0.475,2018
22,Big West,0.474,2018
23,AEC,0.465,2018
24,Big South,0.461,2018
25,Ivy,0.458,2018
26,Horizon,0.458,2018
27,Patriot,0.454,2018
28,NEC,0.452,2018
29,Southland,0.446,2018
30,A-Sun,0.444,2018
31,MEAC,0.408,2018
32,SWAC,0.404,2018
1,ACC,0.58,2017
2,Big 12,0.578,2017
3,Big East,0.568,2017
4,Big Ten,0.565,2017
5,SEC,0.558,2017
6,Pac-12,0.55,2017
7,AAC,0.525,2017
8,A-10,0.523,2017
9,WCC,0.522,2017
10,MWC,0.521,2017
11,CAA,0.504,2017
12,MVC,0.501,2017
13,Sun Belt,0.496,2017
14,MAC,0.493,2017
15,MAAC,0.49,2017
16,Southern,0.489,2017
17,WAC,0.488,2017
18,Horizon,0.486,2017
19,Summit,0.483,2017
20,Ivy,0.477,2017
21,AEC,0.473,2017
22,Patriot,0.472,2017
23,CUSA,0.469,2017
24,OVC,0.467,2017
25,Big South,0.463,2017
26,Southland,0.458,2017
27,A-Sun,0.456,2017
28,Big Sky,0.446,2017
29,Big West,0.445,2017
30,NEC,0.435,2017
31,SWAC,0.409,2017
32,MEAC,0.402,2017
1,Big 12,0.584,2016
2,ACC,0.576,2016
3,Pac-12,0.57,2016
4,Big East,0.562,2016
5,Big Ten,0.55,2016
6,SEC,0.547,2016
7,A-10,0.534,2016
8,AAC,0.53,2016
9,CAA,0.519,2016
10,MAC,0.514,2016
11,MWC,0.514,2016
12,Summit,0.508,2016
13,MVC,0.497,2016
14,WCC,0.496,2016
15,Ivy,0.49,2016
16,Big West,0.49,2016
17,Sun Belt,0.485,2016
18,Horizon,0.48,2016
19,Southern,0.478,2016
20,MAAC,0.476,2016
21,CUSA,0.473,2016
22,OVC,0.472,2016
23,AEC,0.467,2016
24,Patriot,0.465,2016
25,Big South,0.464,2016
26,WAC,0.456,2016
27,A-Sun,0.45,2016
28,Big Sky,0.45,2016
29,NEC,0.436,2016
30,Southland,0.435,2016
31,SWAC,0.427,2016
32,MEAC,0.417,2016
1,Big 12,0.579,2015
2,ACC,0.568,2015
3,Big East,0.566,2015
4,Big Ten,0.563,2015
5,Pac-12,0.557,2015
6,SEC,0.55,2015
7,A-10,0.527,2015
8,AAC,0.521,2015
9,MVC,0.519,2015
10,Ind,0.515,2015
11,WCC,0.514,2015
12,MAC,0.512,2015
13,MWC,0.507,2015
14,Ivy,0.493,2015
15,Big West,0.492,2015
16,CUSA,0.491,2015
17,Horizon,0.489,2015
18,Patriot,0.485,2015
19,Sun Belt,0.481,2015
20,CAA,0.478,2015
21,Summit,0.474,2015
22,MAAC,0.473,2015
23,OVC,0.468,2015
24,Southern,0.463,2015
25,Big South,0.461,2015
26,Big Sky,0.46,2015
27,NEC,0.458,2015
28,AEC,0.452,2015
29,Southland,0.45,2015
30,A-Sun,0.441,2015
31,WAC,0.432,2015
32,MEAC,0.427,2015
33,SWAC,0.413,2015
