Year,v_name,v_division
2011,PIT,NL CENTRAL
2011,SDN,NL WEST
2011,SEA,AL WEST
2011,SFN,NL EAST
2011,SLN,NL CENTRAL
2011,TBA,AL EAST
2011,TEX,AL WEST
2011,TOR,AL EAST
2011,WAS,NL EAST
2012,ANA,AL WEST
2012,ARI,NL WEST
2012,ATL,NL EAST
2012,BAL,AL EAST
2012,BOS,AL EAST
2012,CHA,AL CENTRAL
2012,CHN,NL CENTRAL
2012,CIN,NL CENTRAL
2012,CLE,AL CENTRAL
2012,COL,NL WEST
2012,DET,AL CENTRAL
2012,HOU,NL CENTRAL
2012,KCA,AL CENTRAL
2012,LAN,NL WEST
2012,MIA,NL EAST
2012,MIL,NL CENTRAL
2012,MIN,AL CENTRAL
2012,NYA,AL EAST
2012,NYN,NL EAST
2012,OAK,AL WEST
2012,PHI,NL EAST
2012,PIT,NL CENTRAL
2012,SDN,NL WEST
2012,SEA,AL WEST
2012,SFN,NL EAST
2012,SLN,NL CENTRAL
2012,TBA,AL EAST
2012,TEX,AL WEST
2012,TOR,AL EAST
2012,WAS,NL EAST
2013,ANA,AL WEST
2013,ARI,NL WEST
2013,ATL,NL EAST
2013,BAL,AL EAST
2013,BOS,AL EAST
2013,CHA,AL CENTRAL
2013,CHN,NL CENTRAL
2013,CIN,NL CENTRAL
2013,CLE,AL CENTRAL
2013,COL,NL WEST
2013,DET,AL CENTRAL
2013,HOU,AL WEST
2013,KCA,AL CENTRAL
2013,LAN,NL WEST
2013,MIA,NL EAST
2013,MIL,NL CENTRAL
2013,MIN,AL CENTRAL
2013,NYA,AL EAST
2013,NYN,NL EAST
2013,OAK,AL WEST
2013,PHI,NL EAST
2013,PIT,NL CENTRAL
2013,SDN,NL WEST
2013,SEA,AL WEST
2013,SFN,NL EAST
2013,SLN,NL CENTRAL
2013,TBA,AL EAST
2013,TEX,AL WEST
2013,TOR,AL EAST
2013,WAS,NL EAST
2014,ANA,AL WEST
2014,ARI,NL WEST
2014,ATL,NL EAST
2014,BAL,AL EAST
2014,BOS,AL EAST
2014,CHA,AL CENTRAL
2014,CHN,NL CENTRAL
2014,CIN,NL CENTRAL
2014,CLE,AL CENTRAL
2014,COL,NL WEST
2014,DET,AL CENTRAL
2014,HOU,AL WEST
2014,KCA,AL CENTRAL
2014,LAN,NL WEST
2014,MIA,NL EAST
2014,MIL,NL CENTRAL
2014,MIN,AL CENTRAL
2014,NYA,AL EAST
2014,NYN,NL EAST
2014,OAK,AL WEST
2014,PHI,NL EAST
2014,PIT,NL CENTRAL
2014,SDN,NL WEST
2014,SEA,AL WEST
2014,SFN,NL EAST
2014,SLN,NL CENTRAL
2014,TBA,AL EAST
2014,TEX,AL WEST
2014,TOR,AL EAST
2014,WAS,NL EAST
2015,ANA,AL WEST
2015,ARI,NL WEST
2015,ATL,NL EAST
2015,BAL,AL EAST
2015,BOS,AL EAST
2015,CHA,AL CENTRAL
2015,CHN,NL CENTRAL
2015,CIN,NL CENTRAL
2015,CLE,AL CENTRAL
2015,COL,NL WEST
2015,DET,AL CENTRAL
2015,HOU,AL WEST
2015,KCA,AL CENTRAL
2015,LAN,NL WEST
2015,MIA,NL EAST
2015,MIL,NL CENTRAL
2015,MIN,AL CENTRAL
2015,NYA,AL EAST
2015,NYN,NL EAST
2015,OAK,AL WEST
2015,PHI,NL EAST
2015,PIT,NL CENTRAL
2015,SDN,NL WEST
2015,SEA,AL WEST
2015,SFN,NL EAST
2015,SLN,NL CENTRAL
2015,TBA,AL EAST
2015,TEX,AL WEST
2015,TOR,AL EAST
2015,WAS,NL EAST
2016,ANA,AL WEST
2016,ARI,NL WEST
2016,ATL,NL EAST
2016,BAL,AL EAST
2016,BOS,AL EAST
2016,CHA,AL CENTRAL
2016,CHN,NL CENTRAL
2016,CIN,NL CENTRAL
2016,CLE,AL CENTRAL
2016,COL,NL WEST
2016,DET,AL CENTRAL
2016,HOU,AL WEST
2016,KCA,AL CENTRAL
2016,LAN,NL WEST
2016,MIA,NL EAST
2016,MIL,NL CENTRAL
2016,MIN,AL CENTRAL
2016,NYA,AL EAST
2016,NYN,NL EAST
2016,OAK,AL WEST
2016,PHI,NL EAST
2016,PIT,NL CENTRAL
2016,SDN,NL WEST
2016,SEA,AL WEST
2016,SFN,NL EAST
2016,SLN,NL CENTRAL
2016,TBA,AL EAST
2016,TEX,AL WEST
2016,TOR,AL EAST
2016,WAS,NL EAST
